*****************************
Basic coeficients
*****************************
Alpha, Cd
   12.00    ,    .6573E-02,    .5510E-02,    .3524E-02,    .1762E-02,     .000    ,   -.1762E-02,   -.3524E-02,   -.5510E-02,   -.6573E-02
   14.00    ,    .6418E-02,    .5381E-02,    .3442E-02,    .1721E-02,     .000    ,   -.1721E-02,   -.3442E-02,   -.5381E-02,   -.6418E-02
   16.00    ,    .5997E-02,    .5028E-02,    .3216E-02,    .1608E-02,     .000    ,   -.1608E-02,   -.3216E-02,   -.5028E-02,   -.5997E-02
   18.00    ,    .5801E-02,    .4863E-02,    .3111E-02,    .1555E-02,     .000    ,   -.1555E-02,   -.3111E-02,   -.4863E-02,   -.5801E-02
   19.00    ,    .5741E-02,    .4813E-02,    .3078E-02,    .1539E-02,     .000    ,   -.1539E-02,   -.3078E-02,   -.4813E-02,   -.5741E-02
   20.00    ,    .5688E-02,    .4768E-02,    .3050E-02,    .1525E-02,     .000    ,   -.1525E-02,   -.3050E-02,   -.4768E-02,   -.5688E-02
   21.00    ,    .5765E-02,    .4833E-02,    .3091E-02,    .1546E-02,     .000    ,   -.1546E-02,   -.3091E-02,   -.4833E-02,   -.5765E-02
   22.00    ,    .5825E-02,    .4883E-02,    .3123E-02,    .1562E-02,     .000    ,   -.1562E-02,   -.3123E-02,   -.4883E-02,   -.5825E-02
   24.00    ,    .5919E-02,    .4962E-02,    .3174E-02,    .1587E-02,     .000    ,   -.1587E-02,   -.3174E-02,   -.4962E-02,   -.5919E-02

Plain flap aileron
DeltaAil, Cl
  -64.00    ,   -.6878E-01
  -40.00    ,   -.5765E-01
  -20.00    ,   -.3689E-01
  -10.00    ,   -.1845E-01
    .000    ,     .000    
   10.00    ,    .1845E-01
   20.00    ,    .3689E-01
   40.00    ,    .5765E-01
   64.00    ,    .6878E-01

*****************************
Elevator terms
*****************************
Cd_Elev
Alpha, DeltaElev
            ,   -20.00    ,   -15.00    ,   -10.00    ,   -5.000    ,     .000    ,    5.000    ,    10.00    ,    13.00    ,    16.00    
  -16.00    ,    .2417E-01,    .2256E-01,    .1454E-01,    .6449E-02,   -.1125E-04,   -.4802E-02,   -.7958E-02,   -.8989E-02,   -.9430E-02
  -8.000    ,    .1598E-01,    .1479E-01,    .9061E-02,    .3707E-02,   -.5764E-05,   -.2060E-02,   -.2474E-02,   -.2002E-02,   -.1342E-02
  -6.000    ,    .1424E-01,    .1314E-01,    .7896E-02,    .3125E-02,   -.4599E-05,   -.1478E-02,   -.1310E-02,   -.5184E-03,    .3758E-03
  -4.000    ,    .1254E-01,    .1152E-01,    .6758E-02,    .2556E-02,   -.3461E-05,   -.9091E-03,   -.1716E-03,    .9315E-03,    .2054E-02
  -2.000    ,    .1086E-01,    .9937E-02,    .5638E-02,    .1996E-02,   -.2341E-05,   -.3490E-03,    .9486E-03,    .2359E-02,    .3707E-02
    .000    ,    .9222E-02,    .8382E-02,    .4540E-02,    .1447E-02,   -.1244E-05,    .1996E-03,    .2046E-02,    .3757E-02,    .5325E-02
   2.000    ,    .7622E-02,    .6865E-02,    .3470E-02,    .9117E-03,   -.1736E-06,    .7348E-03,    .3116E-02,    .5121E-02,    .6904E-02
   4.000    ,    .6052E-02,    .5377E-02,    .2420E-02,    .3867E-03,    .8766E-06,    .1260E-02,    .4166E-02,    .6459E-02,    .8453E-02
   8.000    ,    .2823E-02,    .2315E-02,    .2592E-03,   -.6937E-03,    .3037E-05,    .2340E-02,    .6327E-02,    .9211E-02,    .1164E-01
   9.000    ,    .1940E-02,    .1478E-02,   -.3313E-03,   -.9889E-03,    .3628E-05,    .2635E-02,    .6918E-02,    .9964E-02,    .1251E-01
   10.00    ,    .1020E-02,    .6058E-03,   -.9465E-03,   -.1297E-02,    .4243E-05,    .2943E-02,    .7533E-02,    .1075E-01,    .1342E-01
